Request_ID,Department,Start_Time,End_Time,SLA_Status,Processing_Time,Employee_ID,Priority
REQ00059,Operations,2026-07-01 06:42:00,,Breached,,E117,High
REQ00060,IT,2026-07-01 02:00:00,2026-07-01 06:47:00,,287.0,E465,High
REQ00061,HR,2026-06-17 17:13:00,,Met,,E216,Low
REQ00062,Operations,2026-06-14 17:45:00,2026-06-14 18:54:00,,69.0,E444,Medium
REQ00063,Finance,2026-06-01 10:43:00,2026-06-01 15:09:00,Met,266.0,E422,Medium
REQ00064,Finance,2026-07-01 04:57:00,2026-07-01 10:25:00,Breached,328.0,E456,Low
REQ00065,HR,2026-06-25 00:39:00,,,,E317,Medium
REQ00066,IT,2026-06-14 19:21:00,2026-06-15 01:06:00,Breached,345.0,E225,Medium
REQ00067,Operations,2026-06-25 04:25:00,,Breached,,E468,High
REQ00068,Operations,2026-06-18 02:56:00,2026-06-18 04:52:00,,116.0,E200,High
REQ00069,IT,2026-06-16 02:11:00,2026-06-16 08:00:00,,349.0,E486,Low
REQ00070,Operations,2026-06-09 00:29:00,,,,E151,Low
REQ00071,HR,2026-06-25 09:09:00,,Breached,,E158,Low
REQ00072,HR,2026-06-17 15:29:00,2026-06-17 20:46:00,,317.0,E317,Medium
REQ00073,Operations,2026-06-21 06:06:00,,Met,,E118,Medium
REQ00074,Finance,2026-06-30 02:04:00,2026-06-30 09:35:00,Met,451.0,E294,Medium
REQ00075,Finance,2026-06-15 16:36:00,2026-06-15 19:58:00,Met,202.0,E496,Medium
REQ00076,HR,2026-06-27 16:46:00,2026-06-27 20:14:00,,208.0,E365,High
REQ00077,IT,2026-06-30 11:33:00,,Breached,,E294,Low
REQ00078,Finance,2026-06-12 04:57:00,,,,E187,Medium
REQ00079,Finance,2026-06-08 20:36:00,,Met,,E255,Low
REQ00080,Finance,2026-06-30 12:05:00,2026-06-30 17:30:00,Met,325.0,E124,High
REQ00081,Finance,2026-06-09 08:07:00,,Met,,E186,Low
REQ00082,IT,2026-06-25 02:20:00,2026-06-25 07:03:00,Met,283.0,E355,Low
REQ00083,Operations,2026-06-09 14:24:00,,Breached,,E258,Medium
REQ00084,Finance,2026-06-26 05:16:00,,,,E422,Medium
REQ00085,IT,2026-06-03 17:01:00,2026-06-03 18:35:00,Breached,94.0,E299,Medium
REQ00086,HR,2026-06-16 04:11:00,2026-06-16 04:54:00,,43.0,E328,Low
REQ00087,Operations,2026-06-18 04:44:00,2026-06-18 11:24:00,,400.0,E457,Medium
REQ00088,HR,2026-06-28 14:20:00,,,,E274,Medium
REQ00089,Operations,2026-06-17 21:34:00,,Met,,E415,Low
REQ00090,IT,2026-06-02 21:23:00,,Breached,,E228,Low
REQ00091,HR,2026-06-03 23:36:00,2026-06-04 07:39:00,,483.0,E282,High
REQ00092,HR,2026-06-13 20:39:00,2026-06-13 22:26:00,Breached,107.0,E239,High
REQ00093,Finance,2026-06-17 14:01:00,2026-06-17 20:16:00,Met,375.0,E447,High
REQ00094,HR,2026-06-20 02:07:00,,,,E449,Low
REQ00095,IT,2026-06-16 18:36:00,2026-06-16 19:35:00,,59.0,E386,High
REQ00096,IT,2026-06-21 02:54:00,2026-06-21 10:13:00,Met,439.0,E164,High
REQ00097,IT,2026-06-10 16:46:00,2026-06-11 00:40:00,Breached,474.0,E131,Medium
REQ00098,IT,2026-06-06 02:32:00,,Breached,,E423,Low
REQ00099,Operations,2026-06-13 19:21:00,,,,E323,Low
REQ00100,HR,2026-06-22 04:58:00,,Breached,,E376,High
REQ00101,Finance,2026-06-28 05:53:00,,Met,,E430,Low
REQ00102,IT,2026-06-27 07:59:00,2026-06-27 13:48:00,Met,349.0,E325,High
REQ00103,HR,2026-06-09 14:26:00,2026-06-09 22:41:00,Breached,495.0,E348,Medium
REQ00104,Operations,2026-06-03 05:45:00,2026-06-03 13:17:00,,452.0,E259,Low
REQ00105,Operations,2026-06-03 08:17:00,,Met,,E227,Low
REQ00106,Finance,2026-06-30 17:44:00,2026-06-30 18:36:00,Met,52.0,E153,Medium
REQ00107,IT,2026-06-03 22:27:00,2026-06-04 05:01:00,Breached,394.0,E203,High
REQ00108,HR,2026-06-18 23:48:00,2026-06-19 00:47:00,Met,59.0,E185,Low
REQ00109,IT,2026-06-02 00:52:00,2026-06-02 05:17:00,Breached,265.0,E477,Medium
REQ00110,IT,2026-06-16 07:25:00,2026-06-16 15:37:00,Breached,492.0,E431,High
REQ00111,Operations,2026-06-10 14:07:00,,,,E346,Medium
REQ00112,Operations,2026-06-02 03:05:00,,Met,,E214,Medium
REQ00113,IT,2026-06-24 22:01:00,,Breached,,E490,Low
REQ00114,IT,2026-06-23 14:20:00,2026-06-23 15:41:00,,81.0,E429,Medium
REQ00115,Finance,2026-06-06 07:12:00,2026-06-06 08:55:00,,103.0,E178,Medium
REQ00116,Finance,2026-06-26 17:26:00,2026-06-26 19:11:00,,105.0,E302,High
REQ00117,IT,2026-06-17 03:01:00,2026-06-17 08:53:00,,352.0,E181,High
REQ00118,HR,2026-06-12 13:25:00,,Breached,,E126,Medium
REQ00119,Operations,2026-06-12 21:41:00,,,,E375,High
REQ00120,Finance,2026-06-26 15:00:00,2026-06-26 21:07:00,Breached,367.0,E284,Medium
REQ00121,Finance,2026-06-26 19:26:00,2026-06-26 20:36:00,Met,70.0,E334,Medium
REQ00122,HR,2026-06-04 11:07:00,,Breached,,E337,Low
REQ00123,Finance,2026-06-10 11:07:00,2026-06-10 12:03:00,Met,56.0,E422,Low
REQ00124,Finance,2026-06-13 21:38:00,2026-06-13 23:07:00,Met,89.0,E349,High
REQ00125,Operations,2026-06-14 06:50:00,2026-06-14 07:12:00,,22.0,E340,Medium
REQ00126,Finance,2026-06-10 11:46:00,2026-06-10 16:37:00,Breached,291.0,E500,Low
REQ00127,HR,2026-06-26 06:16:00,2026-06-26 10:26:00,,250.0,E404,Medium
REQ00128,Finance,2026-06-23 17:17:00,2026-06-24 01:34:00,,497.0,E330,High
REQ00129,HR,2026-06-10 00:34:00,2026-06-10 06:37:00,,363.0,E101,Low
REQ00130,HR,2026-06-22 02:27:00,2026-06-22 09:57:00,Breached,450.0,E274,Low
REQ00131,HR,2026-06-28 04:57:00,2026-06-28 09:36:00,Breached,279.0,E320,High
REQ00132,Finance,2026-06-14 04:52:00,2026-06-14 08:54:00,Breached,242.0,E183,Medium
REQ00133,Finance,2026-06-29 14:48:00,2026-06-29 20:37:00,Breached,349.0,E205,Medium
REQ00134,Operations,2026-06-16 00:35:00,,Met,,E253,High
REQ00135,Operations,2026-06-07 13:18:00,2026-06-07 14:31:00,Breached,73.0,E323,Low
REQ00136,HR,2026-06-20 17:37:00,,Met,,E134,High
REQ00137,IT,2026-06-22 05:42:00,2026-06-22 09:55:00,Breached,253.0,E386,High
REQ00138,Operations,2026-06-17 10:51:00,2026-06-17 12:39:00,,108.0,E155,Low
REQ00139,Finance,2026-06-15 12:22:00,2026-06-15 14:10:00,,108.0,E465,Medium
REQ00140,IT,2026-06-15 12:38:00,,Met,,E485,Low
REQ00141,HR,2026-06-10 19:20:00,2026-06-10 21:13:00,,113.0,E497,Medium
REQ00142,Finance,2026-06-30 10:22:00,,,,E367,Low
REQ00143,HR,2026-06-15 01:45:00,,,,E479,Medium
REQ00144,HR,2026-06-16 07:28:00,2026-06-16 12:21:00,Met,293.0,E353,Medium
REQ00145,IT,2026-06-08 09:11:00,2026-06-08 15:03:00,,352.0,E279,Medium
REQ00146,Operations,2026-06-15 05:28:00,2026-06-15 06:01:00,Breached,33.0,E258,High
REQ00147,HR,2026-06-23 21:41:00,2026-06-24 02:18:00,,277.0,E274,Low
REQ00148,HR,2026-06-04 15:28:00,2026-06-04 23:33:00,,485.0,E330,Medium
REQ00149,Finance,2026-06-06 11:14:00,2026-06-06 18:50:00,Met,456.0,E302,Low
REQ00150,IT,2026-06-13 07:28:00,2026-06-13 09:11:00,Breached,103.0,E118,Medium
REQ00151,HR,2026-06-23 10:07:00,,Met,,E394,Medium
REQ00152,Finance,2026-06-22 18:05:00,,Met,,E417,High
REQ00153,IT,2026-06-02 17:55:00,2026-06-02 19:26:00,Met,91.0,E367,Low
REQ00154,IT,2026-06-11 08:48:00,2026-06-11 16:05:00,Breached,437.0,E302,High
REQ00155,IT,2026-06-10 12:14:00,2026-06-10 14:01:00,,107.0,E110,Low
REQ00156,HR,2026-06-16 18:20:00,,Breached,,E405,Medium
REQ00157,HR,2026-06-02 21:49:00,2026-06-02 23:46:00,Met,117.0,E215,Low
REQ00158,Operations,2026-06-24 14:25:00,,Met,,E385,Medium
REQ00159,IT,2026-06-29 21:36:00,2026-06-30 01:09:00,Breached,213.0,E313,Medium
REQ00160,HR,2026-06-24 08:36:00,2026-06-24 09:10:00,Breached,34.0,E235,High
REQ00161,IT,2026-06-24 12:54:00,,,,E120,Medium
REQ00162,Operations,2026-06-09 13:07:00,2026-06-09 20:04:00,Breached,417.0,E171,Medium
REQ00163,IT,2026-06-17 03:02:00,2026-06-17 08:02:00,,300.0,E339,Low
REQ00164,Operations,2026-06-09 19:08:00,2026-06-10 00:30:00,Breached,322.0,E172,Low
REQ00165,IT,2026-06-06 00:17:00,,Breached,,E139,Low
REQ00166,Operations,2026-06-01 21:47:00,2026-06-01 22:13:00,,26.0,E420,Medium
REQ00167,Operations,2026-06-12 07:34:00,2026-06-12 12:38:00,Met,304.0,E351,Low
REQ00168,HR,2026-06-25 17:42:00,2026-06-26 00:07:00,Breached,385.0,E161,High
REQ00169,IT,2026-06-26 02:59:00,,,,E333,High
REQ00170,HR,2026-06-15 15:27:00,2026-06-15 21:49:00,Breached,382.0,E349,Low
REQ00171,IT,2026-06-19 23:13:00,2026-06-19 23:35:00,,22.0,E103,Low
REQ00172,Operations,2026-06-03 13:20:00,2026-06-03 14:19:00,Breached,59.0,E390,High
REQ00173,HR,2026-06-06 00:20:00,,Met,,E291,High
REQ00174,HR,2026-06-16 23:46:00,2026-06-17 01:19:00,Met,93.0,E210,Medium
REQ00175,IT,2026-06-14 08:05:00,,Breached,,E314,High
REQ00176,Finance,2026-06-11 16:48:00,,,,E423,Low
REQ00177,HR,2026-06-23 11:57:00,2026-06-23 17:15:00,Breached,318.0,E347,High
REQ00178,IT,2026-06-20 17:12:00,,Met,,E347,High
REQ00179,Finance,2026-06-24 10:46:00,,,,E480,Medium
REQ00180,Finance,2026-06-30 18:14:00,,,,E208,Medium
REQ00181,Operations,2026-06-16 20:11:00,2026-06-16 21:43:00,Met,92.0,E436,High
REQ00182,IT,2026-06-28 01:27:00,,Breached,,E391,Medium
REQ00183,IT,2026-06-17 00:05:00,2026-06-17 01:57:00,,112.0,E241,High
REQ00184,Operations,2026-06-03 22:20:00,,Breached,,E388,Medium
REQ00185,IT,2026-06-19 17:08:00,,Met,,E411,High
REQ00186,HR,2026-06-15 01:17:00,2026-06-15 02:05:00,Met,48.0,E427,Low
REQ00187,Operations,2026-06-02 12:43:00,2026-06-02 13:40:00,,57.0,E354,Low
REQ00188,Finance,2026-06-18 10:18:00,,Met,,E405,Low
REQ00189,IT,2026-07-01 01:13:00,2026-07-01 04:50:00,,217.0,E473,Medium
REQ00190,IT,2026-06-03 01:58:00,,,,E226,Medium
REQ00191,Operations,2026-06-16 08:01:00,2026-06-16 11:37:00,Breached,216.0,E319,Low
REQ00192,Finance,2026-06-29 00:44:00,2026-06-29 01:21:00,,37.0,E196,Low
REQ00193,IT,2026-06-15 03:42:00,,Breached,,E240,Medium
REQ00194,Operations,2026-06-15 17:11:00,2026-06-15 19:05:00,Breached,114.0,E136,High
REQ00195,HR,2026-06-16 04:34:00,2026-06-16 10:10:00,,336.0,E492,Low
REQ00196,IT,2026-06-25 08:00:00,,,,E288,Low
REQ00197,HR,2026-06-22 13:51:00,2026-06-22 20:03:00,Breached,372.0,E468,High
REQ00198,Finance,2026-06-13 00:54:00,2026-06-13 07:06:00,Met,372.0,E379,High
REQ00199,HR,2026-06-20 19:18:00,2026-06-21 02:18:00,,420.0,E390,High
REQ00200,IT,2026-06-09 14:16:00,2026-06-09 22:05:00,Met,469.0,E246,High
REQ00201,IT,2026-06-26 23:44:00,2026-06-27 03:40:00,Met,236.0,E301,High
REQ00202,IT,2026-06-02 06:47:00,,Breached,,E333,High
REQ00203,Operations,2026-06-25 11:01:00,,Met,,E136,Low
REQ00204,IT,2026-06-06 14:02:00,,,,E317,High
REQ00205,IT,2026-06-19 15:31:00,,Met,,E266,Low
REQ00206,HR,2026-06-15 19:33:00,,Breached,,E274,Medium
REQ00207,IT,2026-06-01 11:02:00,2026-06-01 11:37:00,Met,35.0,E145,Low
REQ00208,HR,2026-06-06 23:44:00,2026-06-07 05:29:00,Breached,345.0,E303,Low
REQ00209,Finance,2026-06-05 02:55:00,,,,E434,High
REQ00210,IT,2026-06-30 11:57:00,2026-06-30 12:26:00,,29.0,E197,Low
REQ00211,IT,2026-06-05 12:39:00,2026-06-05 16:14:00,,215.0,E487,High
REQ00212,HR,2026-06-28 04:54:00,,Breached,,E433,High
REQ00213,Operations,2026-06-09 19:51:00,2026-06-10 03:09:00,Breached,438.0,E378,High
REQ00214,Finance,2026-06-25 18:52:00,,Breached,,E497,Medium
REQ00215,IT,2026-06-02 12:08:00,2026-06-02 12:30:00,Breached,22.0,E262,Medium
REQ00216,HR,2026-06-28 22:46:00,2026-06-29 04:07:00,Met,321.0,E485,Medium
REQ00217,Finance,2026-06-10 21:23:00,2026-06-10 23:14:00,,111.0,E198,Medium
REQ00218,Operations,2026-06-02 16:41:00,2026-06-02 20:15:00,Breached,214.0,E412,High
REQ00219,IT,2026-06-26 19:40:00,,,,E232,High
REQ00220,Finance,2026-06-22 22:05:00,2026-06-23 03:50:00,Breached,345.0,E202,Medium
REQ00221,IT,2026-06-09 21:10:00,2026-06-09 22:10:00,Breached,60.0,E202,Low
REQ00222,HR,2026-06-25 12:00:00,2026-06-25 12:46:00,,46.0,E398,High
REQ00223,HR,2026-06-13 11:15:00,2026-06-13 14:47:00,,212.0,E240,Medium
REQ00224,Operations,2026-06-20 01:10:00,,,,E339,Medium
REQ00225,Finance,2026-06-12 02:30:00,2026-06-12 10:45:00,Met,495.0,E125,Low
REQ00226,Finance,2026-06-09 16:09:00,2026-06-09 17:03:00,Met,54.0,E236,Low
REQ00227,HR,2026-06-19 00:13:00,,Met,,E120,Medium
REQ00228,Operations,2026-06-29 00:33:00,,Met,,E431,Medium
REQ00229,Operations,2026-06-05 08:26:00,2026-06-05 10:08:00,,102.0,E178,Medium
REQ00230,HR,2026-06-15 00:04:00,2026-06-15 06:49:00,Met,405.0,E176,Low
REQ00231,IT,2026-06-07 18:41:00,2026-06-07 19:53:00,,72.0,E306,Medium
REQ00232,Finance,2026-06-30 09:31:00,2026-06-30 15:03:00,Met,332.0,E382,High
REQ00233,Operations,2026-06-15 02:24:00,2026-06-15 07:52:00,Met,328.0,E295,Low
REQ00234,Finance,2026-06-14 01:24:00,2026-06-14 08:09:00,,405.0,E402,High
REQ00235,HR,2026-07-01 06:07:00,,Breached,,E437,Medium
REQ00236,HR,2026-06-18 09:49:00,2026-06-18 11:06:00,Breached,77.0,E362,Low
REQ00237,HR,2026-06-22 23:58:00,2026-06-23 00:36:00,,38.0,E147,Medium
REQ00238,IT,2026-06-19 10:01:00,,Met,,E226,High
REQ00239,Operations,2026-06-05 03:30:00,2026-06-05 09:37:00,Breached,367.0,E470,Low
REQ00240,Finance,2026-06-16 18:44:00,2026-06-16 20:37:00,Met,113.0,E248,Low
REQ00241,Finance,2026-06-29 23:29:00,,,,E301,High
REQ00242,Operations,2026-06-25 03:11:00,,Breached,,E101,Medium
REQ00243,Finance,2026-06-09 03:17:00,2026-06-09 04:18:00,Met,61.0,E287,Medium
REQ00244,Finance,2026-06-03 01:40:00,2026-06-03 09:52:00,,492.0,E234,Low
REQ00245,Finance,2026-06-20 16:32:00,2026-06-20 17:48:00,,76.0,E486,Medium
REQ00246,Finance,2026-06-05 16:24:00,2026-06-05 17:12:00,Met,48.0,E442,Low
REQ00247,IT,2026-06-16 12:59:00,2026-06-16 18:58:00,Breached,359.0,E432,High
REQ00248,HR,2026-06-12 06:35:00,2026-06-12 11:54:00,,319.0,E382,Medium
REQ00249,Finance,2026-06-25 03:18:00,2026-06-25 04:12:00,Met,54.0,E227,High
REQ00250,IT,2026-06-15 16:39:00,,,,E182,High
REQ00251,HR,2026-06-16 10:41:00,2026-06-16 11:56:00,Met,75.0,E428,High
REQ00252,HR,2026-06-13 19:22:00,2026-06-13 20:01:00,Met,39.0,E118,Medium
REQ00253,IT,2026-06-09 13:06:00,,Breached,,E471,Low
REQ00254,HR,2026-06-20 00:57:00,,Breached,,E245,High
REQ00255,HR,2026-06-15 22:41:00,,Met,,E233,High
REQ00256,Finance,2026-06-28 06:56:00,,,,E259,High
REQ00257,Operations,2026-06-13 14:37:00,2026-06-13 21:47:00,Breached,430.0,E321,High
REQ00258,Finance,2026-06-11 09:21:00,2026-06-11 09:52:00,Breached,31.0,E236,Low
REQ00259,Operations,2026-06-14 20:44:00,2026-06-15 01:38:00,Met,294.0,E326,Low
REQ00260,HR,2026-06-02 17:41:00,,Met,,E205,High
REQ00261,Finance,2026-06-27 15:57:00,2026-06-27 21:29:00,Breached,332.0,E146,Low
REQ00262,IT,2026-06-11 05:21:00,2026-06-11 06:17:00,Breached,56.0,E307,Medium
REQ00263,IT,2026-06-10 22:30:00,,,,E393,Low
REQ00264,Finance,2026-06-09 03:55:00,2026-06-09 08:41:00,Breached,286.0,E469,Low
REQ00265,IT,2026-06-24 06:23:00,2026-06-24 07:00:00,,37.0,E265,Medium
REQ00266,Finance,2026-06-23 14:35:00,2026-06-23 15:39:00,,64.0,E365,High
REQ00267,Finance,2026-06-20 08:56:00,2026-06-20 17:14:00,Met,498.0,E473,Medium
REQ00268,Finance,2026-07-01 06:19:00,2026-07-01 08:06:00,Breached,107.0,E407,Medium
REQ00269,Operations,2026-06-02 08:34:00,2026-06-02 09:33:00,Met,59.0,E460,High
REQ00270,IT,2026-06-23 09:15:00,2026-06-23 13:13:00,Met,238.0,E200,Low
REQ00271,IT,2026-06-25 21:42:00,2026-06-26 05:46:00,Met,484.0,E305,Medium
REQ00272,IT,2026-06-09 02:46:00,,Breached,,E451,Low
REQ00273,IT,2026-06-25 15:46:00,2026-06-25 17:16:00,,90.0,E254,Medium
REQ00274,HR,2026-06-04 23:56:00,2026-06-05 05:26:00,,330.0,E272,Low
REQ00275,Finance,2026-06-12 01:45:00,2026-06-12 02:25:00,Breached,40.0,E103,High
REQ00276,Operations,2026-06-21 00:33:00,2026-06-21 01:42:00,Met,69.0,E347,Low
REQ00277,IT,2026-06-15 22:31:00,,Breached,,E382,Low
REQ00278,HR,2026-06-07 22:46:00,2026-06-08 03:47:00,Breached,301.0,E112,High
REQ00279,Finance,2026-06-08 16:17:00,,Met,,E202,Medium
REQ00280,HR,2026-06-18 16:19:00,2026-06-18 16:50:00,Breached,31.0,E450,High
REQ00281,IT,2026-06-06 07:30:00,2026-06-06 09:14:00,Met,104.0,E323,High
REQ00282,Operations,2026-06-11 20:02:00,,Met,,E261,Medium
REQ00283,IT,2026-06-15 05:43:00,2026-06-15 07:26:00,,103.0,E483,High
REQ00284,Finance,2026-06-19 13:30:00,,,,E440,Medium
REQ00285,Finance,2026-06-18 20:24:00,,Breached,,E218,Low
REQ00286,Operations,2026-06-10 08:05:00,2026-06-10 15:14:00,,429.0,E133,Medium
REQ00287,IT,2026-06-26 19:05:00,,Breached,,E362,High
REQ00288,Finance,2026-06-14 11:57:00,,Met,,E387,Medium
REQ00289,IT,2026-06-16 03:54:00,2026-06-16 05:29:00,Breached,95.0,E108,Medium
REQ00290,IT,2026-06-27 01:49:00,2026-06-27 03:33:00,Breached,104.0,E386,Medium
REQ00291,IT,2026-06-13 06:59:00,,Met,,E352,Low
REQ00292,HR,2026-06-03 00:13:00,2026-06-03 01:34:00,,81.0,E474,High
REQ00293,HR,2026-06-08 16:07:00,2026-06-08 22:31:00,Met,384.0,E371,High
REQ00294,HR,2026-06-05 01:22:00,2026-06-05 07:11:00,,349.0,E316,High
REQ00295,Operations,2026-07-01 07:29:00,2026-07-01 09:22:00,Met,113.0,E483,High
REQ00296,HR,2026-06-10 00:59:00,,Met,,E360,Medium
REQ00297,Operations,2026-06-25 08:05:00,,,,E334,Low
REQ00298,IT,2026-06-03 21:32:00,2026-06-03 23:29:00,,117.0,E310,Medium
REQ00299,HR,2026-06-26 01:01:00,,,,E376,High
REQ00300,IT,2026-06-10 13:25:00,2026-06-10 15:13:00,Met,108.0,E435,Low
REQ00301,HR,2026-06-14 00:09:00,,Breached,,E294,High
REQ00302,IT,2026-06-23 12:30:00,2026-06-23 16:57:00,Breached,267.0,E253,Low
REQ00303,IT,2026-06-04 12:51:00,2026-06-04 14:40:00,Met,109.0,E223,Low
REQ00304,Finance,2026-06-10 14:46:00,2026-06-10 20:28:00,Met,342.0,E339,Low
REQ00305,HR,2026-06-30 17:50:00,2026-07-01 00:46:00,Breached,416.0,E444,Low
REQ00306,Finance,2026-06-30 03:43:00,2026-06-30 10:04:00,Breached,381.0,E446,Medium
REQ00307,Operations,2026-06-23 16:58:00,2026-06-23 23:38:00,Met,400.0,E137,Low
REQ00308,Operations,2026-06-25 06:46:00,2026-06-25 07:34:00,Met,48.0,E430,Medium
REQ00309,IT,2026-06-06 19:45:00,,Breached,,E473,Low
REQ00310,Operations,2026-06-08 21:19:00,2026-06-08 22:18:00,Met,59.0,E186,Low
REQ00311,Finance,2026-06-07 14:24:00,2026-06-07 18:58:00,Met,274.0,E185,High
REQ00312,Operations,2026-06-23 01:14:00,2026-06-23 01:44:00,Met,30.0,E237,Low
REQ00313,Operations,2026-06-26 11:19:00,2026-06-26 11:51:00,Met,32.0,E266,High
REQ00314,Finance,2026-06-09 08:54:00,,Met,,E153,Medium
REQ00315,IT,2026-06-18 00:39:00,,Breached,,E312,High
REQ00316,IT,2026-06-15 00:57:00,,,,E454,High
REQ00317,IT,2026-06-06 17:03:00,,Met,,E461,Medium
REQ00318,IT,2026-06-28 11:52:00,,Breached,,E419,High
REQ00319,HR,2026-06-06 00:59:00,2026-06-06 01:22:00,Met,23.0,E324,Medium
REQ00320,HR,2026-06-30 02:45:00,,Breached,,E352,High
REQ00321,HR,2026-06-02 12:45:00,2026-06-02 18:11:00,Met,326.0,E392,Medium
REQ00322,Finance,2026-06-22 18:15:00,2026-06-22 18:50:00,,35.0,E118,Medium
REQ00323,HR,2026-06-26 04:32:00,2026-06-26 05:34:00,Breached,62.0,E464,Low
REQ00324,IT,2026-06-15 06:52:00,,,,E281,Low
REQ00325,Operations,2026-06-26 10:35:00,,Breached,,E362,Medium
REQ00326,Finance,2026-06-28 17:25:00,2026-06-29 00:59:00,Met,454.0,E320,Low
